Sample Name,Origin,4°C,16°C,30°C,40°C,Ethanol (5% v/v),Ethanol 7% v/v,Ethanol 9% v/v,Ethanol 10% v/v,Ethanol 11% v/v,Ethanol 12% v/v,NaCl (250mM),NaCl (500mM),NaCl (1000mM),KCl (500mM),KCl (1000mM),KCl (1500mM),Maltose (10°C),Maltose (39°C),Ethanol (10°C),Ethanol (39°C),Fructose (10°C),Fructose (39°C),Sucrose (10°C),Sucrose (39°C),Glucose (10°C),Glucose (39°C),"Actidione (0,2 mg/L)","Actidione (0,4 mg/L)","Actidione (0,5 mg/L)",Lysine,Sucrose (20°C),Fructose (20°C),Ethanol (20°C),Maltose (20°C),Galactose (20°C),Glycerol (20°C),Melibiose (20°C),Sorbitol (20°C),Copper (0.075mM),Cadmium (0.3mM),Cadmium (0.4mM),Cadmium (0.5mM),Glucose (46%),Glucose (48%),Glucose (50%),Sorbitol (46%),Sorbitol (48%),Sorbitol (50%),Acetic acid (50mM),Acetic acid (75mM),Acetic acid (100mM),Levulinic acid (25mM),Levulinic acid (50mM),Levulinic acid (75mM),Formic acid (25mM),Formic acid (50mM),Formic acid (75mM),Ethanol production (%v/v),Sporulation efficiency,Spore viability,"Sulfite (1,5mM)","Sulfite (2,25mM)","Sulfite (3,0mM)",Maltose (liquid),Maltotriose (liquid),Acetaldehyde,Ethyl acetate,Ethyl propionate,Propyl acetate,Isobutyl acetate,Ethyl butyrate,Isobutanol,Isoamyl acetate,Butanol,Isoamyl alcohol,Ethyl hexanoate,Ethyl octanoate,Ethyl decanoate,Phenyl ethyl acetate,Phenyl ethanol,Flocculation,POF
BE060,Beer,-0.466,-0.594,0.72,-1.022,-0.776,-1.109,-1.081,-0.943,-0.91,-0.792,-0.885,-0.62,-0.363,0.667,-0.045,-1.153,0.081,-1.105,-1.007,-0.539,-1.469,-1.66,-1.752,-1.537,-1.084,-1.241,-0.645,-0.382,-0.341,0.191,-1.432,-1.149,0.366,1.07,-2.222,-0.814,-0.245,-0.831,0.393,0.729,1.187,-0.361,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,0.996,-1.237,-0.875,-0.421,1.786,-0.836,-2.206,-1.318,-0.632,-0.723,-1.161,-0.819,-0.388,-0.717,-0.441,-0.088,0.632,0.589,0.516,-0.606,0.35,0.442,0.876,0.664,-0.166,0.002,-0.56,-0.352,-0.215,-0.401,-0.495,-0.904,-0.584,-0.922
BE061,Beer,-0.466,-0.849,-0.664,1.487,-0.697,-0.574,-0.534,-0.463,-0.449,-0.107,-0.52,-0.62,-0.363,-0.527,-0.473,0.568,0.616,1.498,-0.695,-0.429,0.1,0.902,0.192,0.944,-0.786,1.024,2.078,0.096,0.092,0.191,-0.332,-0.224,-0.413,0.05,0.567,-0.666,-0.259,-0.471,-1.058,0.77,0.246,0.595,0.135,-0.098,-0.138,-0.547,-0.558,-0.451,0.595,0.182,0.594,-0.077,-0.354,-0.836,-0.113,-1.048,-0.632,0.803,0.831,0.336,-0.972,-0.717,-0.441,0.859,0.995,-0.329,1.334,1.009,0.974,0.077,1.659,0.201,0.527,0.13,0.434,1.781,0.145,-0.071,-0.111,-0.452,-0.584,-0.922
BE062,Beer,-0.466,-0.793,-0.93,0.166,0.095,0.211,0.938,0.472,1.22,1.208,1.176,1.445,-0.363,-0.927,-0.68,0.55,-1.068,1.189,-0.325,0.059,1.02,0.902,0.701,0.944,-0.727,0,-0.645,-0.382,-0.341,0.191,0.357,0.238,-0.504,-0.6,0.784,0.118,0.13,0.308,0.42,0.167,-0.051,0.356,0.183,0.03,-0.24,1.004,1.058,0.03,0.154,-0.374,0.91,0.866,1.641,0.339,-0.948,-0.683,-0.632,1.143,0.769,1.15,0.414,-0.116,-0.441,0.019,0.556,-0.016,-0.493,-0.592,0.053,-0.32,0.474,-1.255,0.048,0.029,-0.17,0.492,0.102,-0.223,0.255,-0.017,3.154,1.078
BE063,Beer,-0.466,-0.85,-0.831,0.964,-0.811,-0.414,-0.043,-0.111,0.218,0.678,1.072,1.19,0.244,-1.512,-1.428,-0.432,-0.662,0.489,0.108,-0.539,1.629,0.103,1.036,0.37,-0.524,-0.447,-0.645,-0.382,-0.341,0.191,0.318,0.726,-0.388,-0.79,0.353,0.055,0.016,-0.093,-0.757,-0.556,-0.844,-0.78,0.183,-0.226,-0.24,0.771,0.176,0.03,0.127,-1.195,-0.875,0.452,-0.133,-0.781,-0.945,-1.537,-0.632,0.263,0.489,-0.819,1.464,1.875,2.312,-0.912,0.262,0.238,-0.855,-0.723,1.038,-0.687,0.267,-1.255,-0.535,-0.154,-0.566,1.05,-0.262,-0.37,-0.322,-0.409,2.531,1.078
BE064,Beer,-0.466,-0.326,0.442,-1.022,-1.068,0.325,-0.587,-0.152,0.079,-0.619,-0.625,-0.62,-0.363,0.536,0.716,1.267,1.364,-1.105,-1.007,-0.539,0.955,0.902,1.553,-0.742,-1.084,-0.309,-0.645,-0.382,-0.341,0.191,3.594,1.98,2.639,3.44,0.729,-1.649,-1.517,-1.471,-0.237,-1.52,-0.794,-0.78,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,1.611,-1.078,-0.875,-0.092,-0.646,-0.836,-2.206,-1.537,-0.632,-0.723,-1.223,-0.819,0.466,-0.6,-0.441,0.494,0.801,-0.363,0.499,0.92,1.058,-0.003,1.132,1.906,0.495,0.022,0.961,-0.843,-0.35,-0.396,-0.186,-0.276,1.908,1.078
BE065,Beer,-0.466,-0.775,-0.063,-1.022,-1.322,-1.17,-0.988,-0.818,-0.91,-0.792,-0.885,-0.62,-0.363,-0.31,-1.39,-1.51,-1.068,-1.105,-1.007,-0.539,-1.469,-1.66,-0.319,-1.537,-0.512,-1.307,-0.645,-0.382,-0.341,0.191,1.13,0.595,1.255,-0.21,-1.378,0.056,-0.227,-0.843,-1.058,-1.761,-1.091,-0.78,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,-0.913,-0.751,-0.875,-1.386,-1.492,-0.836,-0.819,-1.537,-0.632,-0.958,-1.223,-0.819,-1.33,-0.717,-0.441,0.689,0.991,-0.388,0.598,0.904,0.653,0.297,0.809,2.247,0.459,0.127,0.634,-0.384,0.002,-0.381,0.373,0.968,-0.584,-0.922
BE066,Beer,-0.466,-0.5,-0.727,-0.356,-0.701,-1.314,-1.081,-0.943,-0.91,-0.792,-0.885,-0.62,-0.363,-0.533,-0.361,-0.303,-0.597,-0.249,-1.007,-0.539,-1.469,0.902,-0.435,0.944,-0.669,-0.081,-0.645,-0.382,-0.341,0.191,2.16,-0.041,0.997,0.61,0.037,-1.034,-1.517,-1.471,-1.058,-1.36,-0.943,-0.72,-0.681,-0.61,-0.443,-0.779,-0.558,-0.451,-0.471,-1.144,-0.875,-0.093,-0.561,-0.836,-1.048,-1.537,-0.632,0.227,-1.223,-0.819,0.464,0.174,-0.441,0.667,0.678,-0.23,0.336,-0.515,0.646,1.114,1.01,2.8,0.464,0.152,0.49,-0.911,-0.354,-0.409,0.059,-0.146,0.039,-0.922
BE067,Beer,-0.466,-0.359,-0.41,-1.022,-1.151,-0.974,-0.995,-0.827,-0.91,-0.792,-0.681,-0.62,-0.363,-1.082,-0.657,-0.725,-1.068,-1.105,-1.007,-0.539,0.031,-1.66,-0.503,-1.537,-0.385,-1.307,-0.645,-0.382,-0.341,0.191,0.932,1.649,0.585,-0.05,0.744,-0.335,1.228,0.186,-1.058,-1.52,-1.091,-0.78,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,0.788,-1.237,-0.875,-1.809,0.481,-0.836,-0.405,0.126,-0.632,-0.63,-1.223,-0.819,-1.211,-0.717,-0.441,-0.106,0.957,-0.739,-0.884,0.728,0.261,-0.687,0.292,-0.378,-0.605,-0.389,-0.842,-0.577,-0.221,-0.407,-0.613,-0.743,1.285,-0.922
BE068,Beer,-0.466,-0.294,-0.406,-1.022,-1.263,-1.156,-0.985,-0.814,-0.91,-0.792,-0.637,-0.62,-0.363,-0.728,-0.521,-0.355,-1.068,-1.105,-0.967,-0.539,0.056,-1.66,-0.525,-1.537,-0.87,-1.307,-0.645,-0.382,-0.341,0.191,1.095,0.448,0.794,-0.48,0.153,-1.649,-0.87,-1.471,-1.058,-1.761,-1.091,-0.78,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,-0.109,-1.168,-0.793,-0.784,-1.395,-0.745,-0.751,-1.537,-0.632,-0.277,-1.223,-0.819,-1.33,-0.717,-0.441,0.266,0.66,-0.083,-1.682,-0.822,1.837,-1.05,-0.089,0.092,-1.219,-0.402,-1.519,-0.759,-0.373,-0.402,-1.085,-0.611,1.908,-0.922
BE069,Beer,-0.466,0.405,0.128,-1.022,-1.005,-0.667,-0.701,-0.85,-0.91,-0.792,-0.759,-0.62,-0.363,0.583,0.687,-0.511,-0.079,-1.105,-1.007,-0.539,-0.707,0.902,-0.226,0.944,-0.674,0.783,-0.645,-0.382,-0.341,0.191,1.395,-0.997,-0.129,0.94,0.924,-0.765,-0.605,-1.05,-1.058,-1.52,-1.091,-0.78,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,0.034,-0.816,-0.875,1.357,1.397,-0.836,0.098,-1.537,-0.632,-0.735,-0.788,-0.819,0.251,0.187,-0.441,-0.117,0.651,-0.368,0.414,0.454,0.701,0.779,0.975,3.133,0.576,0.052,1.377,-0.857,-0.339,-0.41,0.031,0.732,1.908,-0.922
BE070,Beer,-0.466,-1.246,-0.447,-0.628,-1.182,-0.473,-0.976,-0.802,-0.91,-0.792,-0.885,-0.62,-0.363,0.038,-0.634,-1.51,1.365,-1.105,0.77,-0.539,0.315,0.873,0.294,0.328,-1.084,-0.179,-0.645,-0.382,-0.341,0.191,2.869,1.916,2.02,1.37,-0.056,-0.142,-0.61,-0.637,-1.058,-1.44,-1.091,-0.78,-0.633,-0.61,-0.443,-0.779,-0.558,-0.451,-1.049,-1.237,-0.875,-1.239,-1.454,-0.836,-2.206,-1.537,-0.632,-0.254,-1.192,-0.819,-0.601,-0.595,-0.441,-0.093,0.547,0.124,-1.204,-0.543,0.59,-0.831,-0.146,-1.255,-0.865,-0.096,-0.733,-0.727,-0.359,-0.403,-0.761,-0.549,1.285,-0.922
BE071,Beer,-0.466,0.217,-0.726,-1.022,-1.595,-1.567,-1.081,-0.943,-0.91,-0.792,-0.788,-0.62,-0.363,-0.713,-0.905,-1.089,-1.068,-1.105,-1.007,-0.539,0.02,-1.66,-0.42,-1.537,-0.579,-1.307,-0.645,-0.382,-0.341,0.191,1.241,0.447,1.029,0.19,0.316,-0.998,-1.517,-1.471,-1.058,-1.761,-1.091,-0.78,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,1.396,-0.736,-0.875,-0.934,-1.469,-0.836,-1.03,-0.801,-0.632,0.04,-1.223,-0.819,-1.33,-0.717,-0.441,0.859,1.017,-0.398,-1.723,-0.621,2.126,-1.023,0.092,-1.255,-1.211,-0.11,-1.219,-0.661,-0.179,-0.386,-1.085,-0.861,0.662,-0.922
BE072,Beer,-0.466,0.478,-1.193,-1.022,-0.018,-1.457,-1.081,-0.943,-0.91,-0.792,-0.691,-0.62,-0.363,-0.853,-0.511,0.066,-0.366,-1.105,-1.007,-0.539,-0.769,-1.66,-1.752,-1.537,-1.084,-1.257,-0.645,-0.382,-0.341,-4.007,-0.252,-0.841,-1.208,-0.38,-0.441,-1.649,-0.991,-1.471,-1.058,-1.761,-1.091,-0.78,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,1.139,-1.237,-0.875,0.858,1.011,-0.836,-2.206,-1.537,-0.632,-1.275,-1.223,-0.819,-1.233,-0.717,-0.441,-0.014,0.504,-0.113,-1.523,-0.912,3.743,-0.592,0.241,-1.255,-0.885,-0.084,-0.259,-0.963,-0.421,-0.416,-0.453,-0.214,0.039,-0.922
BE073,Beer,-0.466,0.326,0.249,-1.022,-0.58,-0.359,-0.997,-0.943,-0.91,-0.792,-0.659,-0.62,-0.363,0.142,0.466,1.256,-0.065,-1.105,1.824,-0.539,-0.469,-1.66,-0.378,-1.537,0.013,-1.215,-0.645,-0.382,-0.341,-4.007,0.69,-1.321,0.176,-0.27,-1.407,-1.649,-1.517,-1.471,-1.058,0.488,1.237,1.85,-0.537,-0.61,-0.443,-0.779,-0.558,-0.451,-0.728,-0.988,-0.875,-0.737,-1.07,-0.836,-0.897,-1.537,-0.018,-1.674,0.613,-0.819,-1.255,-0.717,-0.441,0.661,0.969,-0.275,-0.55,-0.06,-0.028,-0.716,0.191,-1.255,-0.839,-0.288,-0.596,-0.873,-0.348,-0.388,-0.659,-0.446,-0.584,-0.922
BE074,Beer,-0.466,-0.417,-0.002,-1.022,-0.212,-1.194,-1.081,-0.943,-0.91,-0.792,-0.885,-0.62,-0.363,-0.117,-0.129,1.1,1.461,-1.105,-1.007,-0.539,-1.469,-1.66,-0.554,-1.537,-1.084,-1.307,-0.645,-0.382,-0.341,-4.007,-0.09,0.615,2.743,2.31,-0.184,-0.791,-1.162,-1.471,-1.058,-1.601,-1.091,-0.78,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,-0.545,-1.237,-0.875,-2.182,-1.551,-0.836,-2.206,-1.537,-0.632,-2.32,-1.223,-0.819,-1.33,-0.717,-0.441,0.449,0.928,-0.056,-0.415,-0.978,0.202,0.347,0.005,0.125,-0.303,-0.372,-0.987,-0.984,-0.467,-0.407,0.034,-0.709,0.039,1.078
BE075,Beer,-0.44,-1.833,-0.168,1.528,-0.145,-0.552,-0.117,-0.824,-0.036,0.018,-0.691,-0.62,-0.363,-0.598,-0.137,-1.51,-0.194,1.498,-1.007,-0.539,-0.598,0.902,-0.595,0.944,-0.689,0.716,-0.645,-0.382,-0.341,0.191,-0.047,-0.025,1.028,0.29,0.092,1.971,1.756,2.824,0.83,0.689,0.642,-0.421,0.519,1.693,2.708,-0.004,0.764,1.232,-0.06,-1.237,-0.875,-1.65,-0.942,-0.836,-0.444,-1.537,-0.632,-0.911,-1.223,-0.819,-1.33,-0.717,-0.441,-0.058,0.5,0.152,0.879,0.596,0.299,-0.411,0.184,-1.255,-0.474,-0.251,-1.368,-0.38,-0.19,-0.385,-0.547,-1.099,0.039,1.078
BE076,Beer,-0.466,-0.528,0.065,-1.022,-1.575,-1.012,-0.965,-0.838,-0.776,-0.792,-0.885,-0.62,-0.363,0.27,-0.432,-1.51,-0.139,-1.105,-1.007,-0.539,-0.542,-1.66,-0.629,-1.537,-0.004,-1.307,-0.645,-0.382,-0.341,0.191,0.49,0.128,0.71,-0.05,-0.459,-0.249,0.154,-0.499,-0.182,0.89,1.633,1.97,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,-0.832,-0.667,-0.875,-1.623,-1.018,-0.656,-0.734,-0.917,-0.632,-0.5,0.177,-0.819,-1.33,-0.717,-0.441,-0.084,0.468,-0.691,1.172,2.083,0.921,-0.267,0.457,-1.255,0.514,-0.361,-0.293,-0.299,0.061,-0.288,0.098,-0.638,-0.584,-0.922
BE077,Beer,-0.466,-0.076,0.893,-1.022,-1.631,-0.842,-1.081,-0.943,-0.91,-0.792,-0.626,-0.62,-0.363,0.799,1.588,1.451,1.295,0.196,0.631,-0.539,0.298,0.902,-0.957,0.944,-0.581,0.751,-0.645,-0.382,-0.341,0.191,0.982,-0.376,1.306,3.18,0.069,0.094,0.745,-0.019,-1.058,0.689,1.633,2.209,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,-0.976,-1.237,-0.875,-0.606,-0.165,-0.771,1.089,-1.537,-0.632,0.145,-1.223,-0.819,-1.245,-0.717,-0.441,0.336,0.785,0.002,0.837,2.135,0.363,-0.51,0.752,-1.255,-0.315,-0.063,-0.336,-0.707,-0.147,-0.388,-0.278,-0.266,-0.584,1.078
BE078,Beer,0.264,0.168,-0.153,-1.022,-0.954,-1.205,-1.081,-0.943,-0.91,-0.792,-0.885,-0.62,-0.363,0.243,0.131,-0.492,-0.264,-1.105,-1.007,-0.539,-0.808,0.531,-0.194,-1.245,0.448,0.069,-0.645,-0.382,-0.341,0.191,-0.35,-0.576,-0.931,-0.09,0.63,-0.198,0.752,-0.378,-1.058,1.493,0.791,-0.361,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,0.478,-1.067,-0.875,-0.869,-1.431,-0.836,1.089,-0.836,-0.632,-0.982,-1.223,-0.819,-1.33,-0.717,-0.441,-0.069,0.598,-0.215,0.987,0.228,0.456,-0.277,0.176,-0.484,-0.024,-0.21,-0.84,-0.686,-0.134,-0.394,-0.085,-0.366,0.039,1.078
BE079,Beer,-0.466,0.531,0.123,1.528,-0.139,-0.516,-0.081,-0.679,-0.318,-0.232,-0.748,-0.62,-0.363,0.203,-0.068,0.805,0.135,0.847,-1.007,-0.539,-0.415,0.902,-0.148,0.944,0.397,1.583,-0.645,-0.382,-0.341,0.191,0.857,-0.247,0.529,0.28,0.762,-0.781,0.963,-0.092,-1.058,-1.52,-1.091,-0.78,-0.537,-0.61,-0.443,-0.779,-0.558,-0.451,-0.14,-1.237,-0.875,-2.182,-0.293,-0.836,-2.206,-1.537,-0.632,-1.005,0.053,-0.819,0.536,-0.076,-0.441,0.18,0.79,0.632,1.426,3.047,0.936,0.626,1.791,-1.255,0.373,0.983,2.126,-0.348,-0.02,-0.373,-0.502,-0.71,0.039,-0.922
BE080,Beer,0.819,-0.233,-0.888,-0.312,-0.74,-0.57,-0.436,-0.273,-0.72,-0.621,2.638,2.49,0.286,-0.753,-0.608,-0.183,-0.706,-0.678,-0.262,-0.539,-0.809,-0.454,-0.178,-0.166,1.088,-0.295,-0.645,-0.382,-0.341,0.191,-0.454,-0.507,-0.743,-0.7,0.245,0.7,0.755,0.885,-1.058,0.81,0.692,0.954,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,1.381,0.281,1.761,0.812,0.756,2.491,0.209,0.962,0.623,0.826,-1.223,-0.819,0.586,-0.655,-0.441,-0.039,0.63,-0.623,0.597,-0.241,0.282,-0.164,1.07,-1.255,0.366,0.094,-0.086,0.963,1.392,1.32,0.242,-0.411,-0.584,1.078
BE081,Beer,-0.466,-0.374,-0.304,-1.022,-0.534,-0.71,-0.608,-0.824,-0.759,-0.558,-0.6,-0.62,-0.363,0.584,0.895,1.162,-0.19,1.178,-1.007,-0.539,-0.594,0.902,-0.715,0.944,-0.552,1.215,-0.645,-0.382,-0.341,0.191,0.075,0.264,0.109,-0.27,0.164,-1.097,-1.517,-1.471,-1.058,1.051,1.93,2.388,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,0.347,-0.993,-0.875,0.452,-0.612,-0.253,0.715,-0.402,-0.632,-0.794,0.489,-0.819,-1.33,-0.717,-0.441,0.503,1.001,-0.533,0.946,1.577,0.736,0.192,0.694,0.214,0.067,-0.053,-0.26,0.08,0.352,-0.266,-0.275,-0.803,-0.584,1.078
BE082,Beer,-0.466,0.16,0.182,-1.022,-0.745,-1.118,-0.979,-0.943,-0.737,-0.699,-0.609,-0.62,-0.363,-0.529,-0.501,-0.403,-1.068,-1.105,-1.007,-0.539,-1.469,-1.66,-0.633,-1.537,-1.084,-1.307,-0.645,-0.382,-0.341,0.191,0.757,0.811,0.553,-0.19,0.642,-1.069,-1.19,-0.901,-1.058,-1.641,-1.091,-0.78,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,0.275,-1.237,-0.875,-1.344,-1.473,-0.836,-1.182,-1.537,-0.632,-0.324,-1.223,-0.819,-1.33,-0.717,-0.441,0.849,0.959,-0.487,-1.03,0.613,2.16,-0.8,0.269,-0.149,-0.951,-0.353,-0.643,-0.675,-0.132,-0.374,-0.741,0.378,1.908,-0.922
BE083,Beer,1.818,1.551,-0.03,-0.931,0.15,0.187,0.635,0.02,1.967,1.586,0.23,-0.245,-0.363,-0.68,0.779,3.822,1.338,0.182,1.314,-0.539,-0.636,-1.172,-0.493,-1.264,1.894,-1.194,-0.645,-0.382,-0.341,0.191,1.295,0.19,2.182,-0.01,0.954,0.568,0.929,1.086,-1.058,0.609,-0.844,-0.78,2.053,0.606,-0.138,2.864,1.058,0.751,-0.356,-0.049,0.357,0.055,0.863,1.593,-0.471,-0.156,-0.525,1.237,0.209,0.993,1.103,-0.586,-0.441,0.629,1.017,-0.444,0.533,0.173,0.353,0.499,0.98,-1.255,0.568,-0.075,1.055,0.535,-0.019,-0.342,0.805,0.6,-0.584,1.078
BE084,Beer,1.147,-1.284,-0.563,-1.022,-0.21,-0.296,-0.018,-0.359,1.227,0.993,-0.015,-0.258,-0.363,-0.67,0.477,1.886,1.015,-0.724,0.891,-0.539,-0.636,-1.202,-0.831,-1.264,-0.282,-1.21,-0.645,-0.382,-0.341,0.191,0.728,-0.005,0.758,-0.03,0.954,0.68,1.246,1.304,-0.921,0.207,-1.091,-0.78,0.519,-0.162,-0.138,2.787,0.47,0.27,0.032,-0.006,0.003,0.361,0.679,1.097,-0.776,-1.537,-0.039,1.343,0.333,1.308,0.647,-0.717,-0.441,0.142,0.89,-0.533,1.374,0.726,1.205,1.104,1.697,1.003,1.577,0.201,1.336,0.98,0.441,-0.191,0.928,0.399,-0.584,1.078
BE085,Beer,-0.006,-0.565,-0.247,0.45,-0.48,-0.375,0.273,0.058,0.528,0.276,0.456,1.153,0.592,-0.078,-0.037,-0.447,1.009,1.498,2.184,1.6,1.396,0.902,1.171,0.944,0.33,1.879,-0.523,-0.382,-0.341,0.191,-0.018,0.244,-0.029,-0.71,0.954,1.479,1.356,1.134,-1.058,0.408,-0.943,-0.78,-0.824,-0.61,-0.443,-0.469,-0.558,-0.451,-0.879,-0.499,-0.547,-1.331,-0.422,-0.443,-0.968,-1.086,-0.632,-0.054,-0.476,0.336,-0.277,-0.717,-0.441,-1.125,-1.478,-0.568,1.541,-0.201,1.375,1.308,2.166,0.562,2.145,0.326,1.535,1.101,1.044,0.082,1.35,0.277,-0.584,1.078
BE086,Beer,-0.466,-0.133,-0.183,1.528,-1.505,-1.111,-0.188,0.217,0.362,0.824,3.106,4.564,5.869,0.609,0.393,-1.147,-1.068,1.058,-1.007,-0.539,-0.344,0.902,-0.356,0.944,-0.145,1.879,-0.232,-0.382,-0.341,0.191,-0.317,0.594,-1.954,-1.63,-3.114,-1.649,-1.517,-1.471,-0.538,2.055,2.673,3.165,-0.824,-0.61,-0.443,-0.779,-0.558,-0.451,1.083,0.74,1.408,0.196,-1.485,-0.836,0.038,1.25,0.087,0.345,-1.223,-0.819,-1.208,-0.717,-0.441,0.408,-1.478,-0.286,-0.564,-0.651,0.07,-0.756,0.536,0.718,-0.718,0.088,-0.226,-0.069,-0.102,-0.355,-0.25,0.738,1.285,1.078
BE087,Beer,-0.466,0.483,0.324,-1.022,-0.057,0.517,-0.973,-0.798,-0.91,-0.792,-0.532,-0.208,-0.363,0.76,1.449,-0.6,-0.206,-1.105,-1.007,-0.539,-0.61,-0.659,-0.749,-1.537,0.041,-0.259,-0.645,-0.382,-0.341,0.191,-0.985,-0.975,-1.954,-0.02,-3.114,-1.649,-1.517,-1.471,-1.058,0.448,1.98,1.551,-0.728,-0.482,-0.443,-0.779,-0.558,-0.451,-2.811,-1.237,-0.875,-2.182,-1.551,-0.836,-2.054,-1.537,-0.531,-1.146,-1.223,-0.819,-1.246,-0.717,-0.441,0.375,1.017,-0.251,-0.92,-0.342,0.462,-0.722,-0.164,-1.255,-0.808,-0.218,-0.655,-0.853,-0.259,-0.37,-0.659,-0.484,-0.584,1.078
BE088,Beer,1.252,-0.388,-0.862,-1.022,0.067,0.077,0.624,0.57,1.454,1.936,0.793,-0.164,-0.363,-0.229,-0.522,-0.857,-0.145,-1.105,4.818,-0.539,4.106,-1.66,3.286,-1.537,4.134,-1.307,0.21,-0.382,-0.341,0.191,1.153,1.415,0.45,0.02,0.817,-0.578,0.964,-0.562,-1.058,1.212,1.286,1.073,-0.201,-0.29,-0.443,-0.779,-0.558,-0.451,-2.811,-1.237,-0.875,-2.182,-1.551,-0.836,-2.206,-1.537,-0.632,-1.287,-1.223,-0.819,-1.33,-0.717,-0.441,-0.565,0.426,0.146,-0.872,2.036,0.444,-0.845,0.4,-0.335,-0.717,0.089,-0.106,-0.828,-0.12,-0.345,0.045,1.794,0.662,-0.922
BE089,Beer,-0.466,-1.058,-1.254,-1.022,-0.626,-0.489,-0.175,-0.108,0.392,0.473,0.528,0.987,-0.363,-0.285,-0.448,0.19,-0.536,-1.105,2.271,-0.539,2.843,-1.66,2.254,-1.537,0.421,-1.307,-0.645,-0.382,-0.341,0.191,0.301,0.345,0.854,-0.38,0.954,-0.265,1.191,0.159,-1.003,0.93,1.286,-0.122,0.662,-0.162,-0.24,-0.779,-0.558,-0.451,-1.629,-1.237,-0.875,-2.182,-1.551,-0.836,-2.206,-1.537,-0.632,-1.087,-1.223,-0.819,-1.221,-0.717,-0.441,-0.057,0.357,-0.166,-0.198,2.316,0.692,-0.587,0.463,1.001,-0.187,0.149,0.258,-0.788,-0.129,-0.225,0.88,2.184,0.039,-0.922
BE090,Beer,-0.466,0.321,0.041,-1.022,-0.346,-0.914,-0.976,-0.802,-0.722,-0.696,-0.77,-0.62,-0.363,0.331,0.108,0.327,0.188,-1.105,-1.007,-0.539,-0.217,-0.832,-0.718,-1.537,-0.447,0.468,-0.645,-0.382,-0.341,0.191,0.698,-0.218,0.361,0.14,0.18,-1.649,-1.291,-1.294,0.31,2.256,0.692,0.894,-0.489,-0.61,-0.443,-0.779,-0.558,-0.451,0.27,-1.176,-0.875,-0.388,-0.037,-0.836,1.057,-0.172,-0.632,-0.254,-0.476,-0.609,-0.469,-0.717,-0.441,0.859,-1.478,0.179,-0.453,-0.601,0.09,-0.04,0.397,-1.255,-0.676,0.002,-1.015,-0.889,-0.383,-0.346,-0.556,-0.426,1.908,-0.922
